,ID,Gene,Description,Full,Ontology_id,Ontology_term,moduleColor
3629,Xele.ptg000013l.291,PER49,NA,Peroxidase 4,"GO:1901430,GO:0005576,GO:0020037,GO:0042744,GO:0140825,GO:0006979,GO:0005515,GO:0046872,GO:0005737,GO:0043231,GO:0098869,GO:0010089","positive regulation of syringal lignin biosynthetic process,extracellular region,heme binding,hydrogen peroxide catabolic process,lactoperoxidase activity,response to oxidative stress,protein binding,metal ion binding,cytoplasm,intracellular membrane-bounded organelle,cellular oxidant detoxification,xylem development",Cluster 2
3630,Xele.ptg000013l.294,LOC107915881,XP_009402406.1PREDICTED: uncharacterized protein LOC103986202,NA,NA,NA,Cluster 2
3631,Xele.ptg000013l.295,At2g38370,F4ISY0.1RecName,WEB family protein At2g38370,NA,NA,Cluster 2
3632,Xele.ptg000013l.298,CIPK20,NA,CBL-interacting serine/threonine-protein kinase 11,"GO:0005737,GO:0000166,GO:0004674,GO:0019900,GO:0006468,GO:0006979,GO:0007165,GO:0009268,GO:0009408,GO:0009409,GO:0009414,GO:0009737,GO:0009749,GO:0010540,GO:0042538,GO:0051592","cytoplasm,nucleotide binding,protein serine/threonine kinase activity,kinase binding,protein phosphorylation,response to oxidative stress,signal transduction,response to pH,response to heat,response to cold,response to water deprivation,response to abscisic acid,response to glucose,basipetal auxin transport,hyperosmotic salinity response,response to calcium ion",Cluster 3
3633,Xele.ptg000013l.299,LSF2,NA,"Phosphoglucan phosphatase LSF2, chloroplastic","GO:0009507,GO:0005515,GO:0008138,GO:0050308,GO:2001070,GO:0005983,GO:0016311","chloroplast,protein binding,protein tyrosine/serine/threonine phosphatase activity,sugar-phosphatase activity,starch binding,starch catabolic process,dephosphorylation",Cluster 1
3634,Xele.ptg000013l.301,EPFL4,NA,EPIDERMAL PATTERNING FACTOR-like protein 6,"GO:0005576,GO:0016787,GO:0010052","extracellular region,hydrolase activity,guard cell differentiation",Cluster 2
3635,Xele.ptg000013l.302,HAK3,NA,Probable potassium transporter 9,"GO:0005886,GO:0015079,GO:0009932,GO:0048825,GO:0071805""","plasma membrane,potassium ion transmembrane transporter activity,cell tip growth,cotyledon development,potassium ion transmembrane transport",Cluster 5
3636,Xele.ptg000013l.304,At5g25400,NA,UDP-xylose transporter 3,"GO:0000139,GO:0005789,GO:0005886,GO:0005355,GO:0005457,GO:0005459,GO:0005460,GO:0005464,GO:0015297,GO:0009833,GO:0009834,GO:0015783,GO:0015786,GO:0015790,GO:0072334,GO:1900030,GO:1904659""","Golgi membrane,endoplasmic reticulum membrane,plasma membrane,glucose transmembrane transporter activity,GDP-fucose transmembrane transporter activity,UDP-galactose transmembrane transporter activity,UDP-glucose transmembrane transporter activity,UDP-xylose transmembrane transporter activity,antiporter activity,plant-type primary cell wall biogenesis,plant-type secondary cell wall biogenesis,GDP-fucose transmembrane transport,UDP-glucose transmembrane transport,UDP-xylose transmembrane transport,UDP-galactose transmembrane transport,regulation of pectin biosynthetic process,glucose transmembrane transport",Cluster 2
3637,Xele.ptg000013l.308,BETA2,NA,Vicilin-like seed storage protein At2g28490,"GO:0005737,GO:0043231""","cytoplasm,intracellular membrane-bounded organelle",Cluster 7
3638,Xele.ptg000013l.309,IRK,NA,Probable LRR receptor-like serine/threonine-protein kinase IRK,"GO:0010262,GO:0019901,GO:0015026,GO:1900150,GO:0042803,GO:0010150,GO:0090351,GO:0009742,GO:0004674,GO:0006468,GO:0040008,GO:0005886,GO:0000166,GO:0051302,GO:0008219,GO:0045089,GO:0043231,GO:0010227,GO:0033612","somatic embryogenesis,protein kinase binding,coreceptor activity,regulation of defense response to fungus,protein homodimerization activity,leaf senescence,seedling development,brassinosteroid mediated signaling pathway,protein serine/threonine kinase activity,protein phosphorylation,regulation of growth,plasma membrane,nucleotide binding,regulation of cell division,cell death,positive regulation of innate immune response,intracellular membrane-bounded organelle,floral organ abscission,receptor serine/threonine kinase binding",Cluster 2
3639,Xele.ptg000013l.311,CYP82E4,NA,Cytochrome P450 81Q32,"GO:0110165,GO:0106149,GO:0002213,GO:0009682,GO:0009759,GO:0010039,GO:0050832,GO:0052544,GO:0071456","cellular anatomical entity,indole-3-carbonyl nitrile 4-hydroxylase activity,defense response to insect,induced systemic resistance,indole glucosinolate biosynthetic process,response to iron ion,defense response to fungus,defense response by callose deposition in cell wall,cellular response to hypoxia",Cluster 8
3640,Xele.ptg000013l.316,LOC_Os11g38670,NA,DEAD-box ATP-dependent RNA helicase 20,"GO:0005829,GO:0003729,GO:0004386,GO:0043167,GO:0016070""","cytosol,mRNA binding,helicase activity,ion binding,RNA metabolic process",Cluster 8
3641,Xele.ptg000013l.317,C4H2,NA,Trans-cinnamate 4-monooxygenase,"GO:0016020,GO:0005506,GO:0016710,GO:0020037,GO:0042802,GO:0006744,GO:0009555,GO:0009808,GO:0009820,GO:0051762","membrane,iron ion binding,trans-cinnamate 4-monooxygenase activity,heme binding,identical protein binding,ubiquinone biosynthetic process,pollen development,lignin metabolic process,alkaloid metabolic process,sesquiterpene biosynthetic process",Cluster 1
3642,Xele.ptg000013l.318,NA,XP_039129466.1uncharacterized protein LOC120265590 isoform X2,NA,NA,NA,Cluster 2
3643,Xele.ptg000013l.319,NET3A,NA,Protein NETWORKED 4B,"GO:0005774,GO:0005884,GO:0005886,GO:0009506,GO:0031965,GO:0051015""","vacuolar membrane,actin filament,plasma membrane,plasmodesma,nuclear membrane,actin filament binding",Cluster 2
3644,Xele.ptg000013l.320,B296_00039399,URE03968.1hypothetical protein MUK42_03697,NA,GO:0016301,kinase activity,Cluster 1
3645,Xele.ptg000013l.321,PDPK2,NA,Serine/threonine-protein kinase AtPK2/AtPK19,"GO:0009898,GO:0035618,GO:0004674,GO:0009882,GO:0010181,GO:0042802,GO:0007165,GO:0007623,GO:0008285,GO:0009408,GO:0009409,GO:0009414,GO:0009638,GO:0009826,GO:0009903,GO:0009904,GO:0010119,GO:0010155,GO:0010362,GO:0010540,GO:0042538,GO:0045727,GO:0046777,GO:0048468,GO:0051592","cytoplasmic side of plasma membrane,root hair,protein serine/threonine kinase activity,blue light photoreceptor activity,FMN binding,identical protein binding,signal transduction,circadian rhythm,negative regulation of cell population proliferation,response to heat,response to cold,response to water deprivation,phototropism,unidimensional cell growth,chloroplast avoidance movement,chloroplast accumulation movement,regulation of stomatal movement,regulation of proton transport,negative regulation of anion channel activity by blue light,basipetal auxin transport,hyperosmotic salinity response,positive regulation of translation,protein autophosphorylation,cell development,response to calcium ion",Cluster 1
3646,Xele.ptg000013l.322,At5g24010,NA,Receptor-like protein kinase FERONIA,"GO:0016324,GO:0043680,GO:0090404,GO:0004672,GO:0005515,GO:0009653,GO:0009741,GO:0009755,GO:0010038,GO:0010118,GO:0010483,GO:0046777,GO:0050832","apical plasma membrane,filiform apparatus,pollen tube tip,protein kinase activity,protein binding,anatomical structure morphogenesis,response to brassinosteroid,hormone-mediated signaling pathway,response to metal ion,stomatal movement,pollen tube reception,protein autophosphorylation,defense response to fungus",Cluster 2
3647,Xele.ptg000013l.325,BXL5,NA,Probable beta-D-xylosidase 6,"GO:0005576,GO:0016020,GO:0000166,GO:0004672,GO:0005515,GO:0009044,GO:0046556,GO:0009627,GO:0009834,GO:0031222,GO:2000605","extracellular region,membrane,nucleotide binding,protein kinase activity,protein binding,xylan 1,4-beta-xylosidase activity,alpha-L-arabinofuranosidase activity,systemic acquired resistance,plant-type secondary cell wall biogenesis,arabinan catabolic process,positive regulation of secondary growth",Cluster 2
3648,Xele.ptg000013l.327,LOC104593737,XP_039129223.1endochitinase A-like,NA,NA,NA,Cluster 7
3649,Xele.ptg000013l.331,At2g31350,NA,Hydroxyacylglutathione hydrolase cytoplasmic,"GO:0005737,GO:0043231,GO:0004416,GO:0005506,GO:0008270,GO:0006950,GO:0009628,GO:0019243","cytoplasm,intracellular membrane-bounded organelle,hydroxyacylglutathione hydrolase activity,iron ion binding,zinc ion binding,response to stress,response to abiotic stimulus,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione",Cluster 1
3650,Xele.ptg000013l.337,LOC107485620,XP_020681342.1uncharacterized protein LOC110098765,NA,NA,NA,Cluster 2
3651,Xele.ptg000013l.338,MED33A,NA,Mediator of RNA polymerase II transcription subunit 33A,"GO:0016592,GO:2000762""","mediator complex,regulation of phenylpropanoid metabolic process",Cluster 2
3652,Xele.ptg000013l.340,At5g20640,Q9ZVI6.1RecName,Protein LURP-one-related 8,NA,NA,Cluster 7
3653,Xele.ptg000013l.347,GATL9,NA,Probable galacturonosyltransferase 7,"GO:0005515,GO:0047262,GO:0000902,GO:0003006,GO:0009791,GO:0045489,GO:0045491,GO:0048468,GO:0048731,GO:0070592,GO:0071555","protein binding,polygalacturonate 4-alpha-galacturonosyltransferase activity,cell morphogenesis,developmental process involved in reproduction,post-embryonic development,pectin biosynthetic process,xylan metabolic process,cell development,system development,cell wall polysaccharide biosynthetic process,cell wall organization",Cluster 8
3654,Xele.ptg000013l.348,MTHFR1,NA,Methylenetetrahydrofolate reductase (NADH) 1,"GO:0005829,GO:0071949,GO:0106312,GO:0009086,GO:0035999","cytosol,FAD binding,methylenetetrahydrofolate reductase NADH activity,methionine biosynthetic process,tetrahydrofolate interconversion",Cluster 2
3655,Xele.ptg000013l.349,At2g32990,NA,Endoglucanase 9,"GO:0005886,GO:0009504,GO:0005515,GO:0008810,GO:0009624,GO:0009735,GO:0009826,GO:0030244,GO:0030245,GO:0043622,GO:0048367,GO:0071555","plasma membrane,cell plate,protein binding,cellulase activity,response to nematode,response to cytokinin,unidimensional cell growth,cellulose biosynthetic process,cellulose catabolic process,cortical microtubule organization,shoot system development,cell wall organization",Cluster 2
3656,Xele.ptg000013l.350,LOC_Os03g21140,Q0D3J9.1RecName,Zinc finger CCCH domain-containing protein 53,GO:0003676,nucleic acid binding,Cluster 2
3657,Xele.ptg000013l.351,NA,-,NA,NA,NA,Cluster 2
3658,Xele.ptg000013l.352,At5g39570,Q9FKA5.1RecName,Uncharacterized protein At5g39570,GO:0070300,phosphatidic acid binding,Cluster 8
3659,Xele.ptg000013l.359,R40G3,NA,Ricin B-like lectin R40G3,"GO:0005737,GO:0005515,GO:0030246,GO:0042742,GO:0090332""","cytoplasm,protein binding,carbohydrate binding,defense response to bacterium,stomatal closure",Cluster 8
3660,Xele.ptg000013l.361,O64394,NA,"Thioredoxin-like 1-1, chloroplastic","GO:0009570,GO:0031969,GO:0005515,GO:0008047,GO:0016671,GO:0010109,GO:0043085,GO:0043086,GO:0045454,GO:0051776","chloroplast stroma,chloroplast membrane,protein binding,enzyme activator activity,oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor,regulation of photosynthesis,positive regulation of catalytic activity,negative regulation of catalytic activity,cell redox homeostasis,detection of redox state",Cluster 1
3661,Xele.ptg000013l.363,JCGZ_16206,XP_010931446.1uncharacterized protein LOC105052361 isoform X2,NA,NA,NA,Cluster 2
3662,Xele.ptg000013l.365,NA,XP_020086773.1uncharacterized protein LOC109709115,NA,NA,NA,Cluster 7
3663,Xele.ptg000013l.366,NA,-,NA,NA,NA,Cluster 7
3664,Xele.ptg000013l.367,EXPA9,NA,Expansin-A15,"GO:0005576,GO:0016020,GO:0006949,GO:0009635,GO:0009739,GO:0009826,GO:0009828,GO:0010114,GO:0010311,GO:0080022""","extracellular region,membrane,syncytium formation,response to herbicide,response to gibberellin,unidimensional cell growth,plant-type cell wall loosening,response to red light,lateral root formation,primary root development",Cluster 2
3665,Xele.ptg000013l.377,P55964,NA,"Pyruvate kinase, cytosolic isozyme","GO:0005829,GO:0009570,GO:0000287,GO:0004743,GO:0005524,GO:0016301,GO:0030955,GO:0006096,GO:0016310","cytosol,chloroplast stroma,magnesium ion binding,pyruvate kinase activity,ATP binding,kinase activity,potassium ion binding,glycolytic process,phosphorylation",Cluster 3
3666,Xele.ptg000013l.378,ATL12,NA,E3 ubiquitin-protein ligase SIRP1,"GO:2000070,GO:0061630,GO:0071629,GO:0009651,GO:0090378,GO:0000209,GO:0010182,GO:1902006,GO:0009630,GO:0009789,GO:0061635,GO:0005789,GO:0047484,GO:0009938,GO:0046872,GO:0005829,GO:0051787,GO:0051865","regulation of response to water deprivation,ubiquitin protein ligase activity,cytoplasm protein quality control by the ubiquitin-proteasome system,response to salt stress,seed trichome elongation,protein polyubiquitination,sugar mediated signaling pathway,negative regulation of proline biosynthetic process,gravitropism,positive regulation of abscisic acid-activated signaling pathway,regulation of protein complex stability,endoplasmic reticulum membrane,regulation of response to osmotic stress,negative regulation of gibberellic acid mediated signaling pathway,metal ion binding,cytosol,misfolded protein binding,protein autoubiquitination",Cluster 3
3667,Xele.ptg000013l.381,GSTU9,NA,Probable glutathione S-transferase,"GO:0005737,GO:0004364,GO:0005515,GO:0043295,GO:0006749,GO:0006979,GO:0009407,GO:0009408,GO:0009651,GO:0009733,GO:0009735,GO:0009737,GO:0009739,GO:0009751,GO:0010038,GO:0048527,GO:0060416,GO:0080148,GO:1900367","cytoplasm,glutathione transferase activity,protein binding,glutathione binding,glutathione metabolic process,response to oxidative stress,toxin catabolic process,response to heat,response to salt stress,response to auxin,response to cytokinin,response to abscisic acid,response to gibberellin,response to salicylic acid,response to metal ion,lateral root development,response to growth hormone,negative regulation of response to water deprivation,positive regulation of defense response to insect",Cluster 8
3668,Xele.ptg000013l.384,PKS4,Q9FYE2.1RecName,Protein PHYTOCHROME KINASE SUBSTRATE 4,GO:0009639,response to red or far red light,Cluster 2
3669,Xele.ptg000013l.387,LTPG5,NA,Non-specific lipid transfer protein GPI-anchored 12,"GO:0005615,GO:0005886,GO:0008289,GO:0002237,GO:0002240,GO:0006869,GO:0009624,GO:0009791,GO:0010089,GO:0010584,GO:0042335,GO:0050832,GO:0140426""","extracellular space,plasma membrane,lipid binding,response to molecule of bacterial origin,response to molecule of oomycetes origin,lipid transport,response to nematode,post-embryonic development,xylem development,pollen exine formation,cuticle development,defense response to fungus,pathogen-associated molecular pattern receptor signaling pathway",Cluster 2
3670,Xele.ptg000013l.389,NA,XP_042476361.1ELMO domain-containing protein 3 isoform X2,NA,NA,NA,Cluster 3
3671,Xele.ptg000013l.390,NA,XP_031248711.1ELMO domain-containing protein A-like,NA,NA,NA,Cluster 3
3672,Xele.ptg000013l.396,NA,-,NA,NA,NA,Cluster 2
3673,Xele.ptg000013l.400,DCL2B,NA,Ribonuclease 3-like protein 3,"GO:0005737,GO:0003677,GO:0003723,GO:0004525,GO:0005515,GO:0007275,GO:0009616,GO:0030422,GO:0035196","cytoplasm,DNA binding,RNA binding,ribonuclease III activity,protein binding,multicellular organism development,RNAi-mediated antiviral immune response,siRNA processing,miRNA processing",Cluster 2
3674,Xele.ptg000013l.401,NA,XP_008786756.3protein KRI1 homolog,NA,NA,NA,Cluster 7
3675,Xele.ptg000013l.402,RCOM_1077790,XP_020247867.1protein KRI1 homolog,NA,NA,NA,Cluster 7
3676,Xele.ptg000013l.405,ERDJ3B,NA,Chaperone protein dnaJ 72,"GO:0005788,GO:0005515,GO:0006457,GO:0044794""","endoplasmic reticulum lumen,protein binding,protein folding,positive regulation by host of viral process",Cluster 7
3677,Xele.ptg000013l.407,LOC103704993,XP_029120533.1uncharacterized protein LOC105046223,NA,NA,NA,Cluster 7
3678,Xele.ptg000013l.409,GHR1,NA,Probable inactive receptor kinase At5g10020,"GO:1901528,GO:0005515,GO:0090333,GO:0071244,GO:0043231,GO:0071485,GO:0004672,GO:0016310,GO:0005886,GO:0009789","hydrogen peroxide mediated signaling pathway involved in stomatal movement,protein binding,regulation of stomatal closure,cellular response to carbon dioxide,intracellular membrane-bounded organelle,cellular response to absence of light,protein kinase activity,phosphorylation,plasma membrane,positive regulation of abscisic acid-activated signaling pathway",Cluster 8
3679,Xele.ptg000013l.414,NA,-,NA,NA,NA,Cluster 7
3680,Xele.ptg000013l.415,SBT4.11,NA,CO(2)-response secreted protease,"GO:0005576,GO:0004252,GO:0005515,GO:0006508,GO:0009609,GO:0009610,GO:0009753,GO:0010037,GO:0010074,GO:1900425,GO:2000122","extracellular region,serine-type endopeptidase activity,protein binding,proteolysis,response to symbiotic bacterium,response to symbiotic fungus,response to jasmonic acid,response to carbon dioxide,maintenance of meristem identity,negative regulation of defense response to bacterium,negative regulation of stomatal complex development",Cluster 2
3681,Xele.ptg000013l.416,CST,NA,Probable serine/threonine-protein kinase PBL3,"GO:1901141,GO:0080141,GO:0080142,GO:1902458,GO:0046777,GO:0009620,GO:0004674,GO:0060862,GO:0002221,GO:0005886,GO:1900426,GO:0005524,GO:0004713,GO:0030957,GO:0031663,GO:0010008,GO:0050777,GO:0106310","regulation of lignin biosynthetic process,regulation of jasmonic acid biosynthetic process,regulation of salicylic acid biosynthetic process,positive regulation of stomatal opening,protein autophosphorylation,response to fungus,protein serine/threonine kinase activity,negative regulation of floral organ abscission,pattern recognition receptor signaling pathway,plasma membrane,positive regulation of defense response to bacterium,ATP binding,protein tyrosine kinase activity,Tat protein binding,lipopolysaccharide-mediated signaling pathway,endosome membrane,negative regulation of immune response,protein serine kinase activity",Cluster 7
3682,Xele.ptg000013l.417,CRD1,NA,"Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase, chloroplastic","GO:0009528,GO:0009535,GO:0031969,GO:0005515,GO:0046872,GO:0048529,GO:0015979,GO:0015995,GO:1901401","plastid inner membrane,chloroplast thylakoid membrane,chloroplast membrane,protein binding,metal ion binding,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity,photosynthesis,chlorophyll biosynthetic process,regulation of tetrapyrrole metabolic process",Cluster 4
3683,Xele.ptg000013l.418,SYN1,NA,Sister chromatid cohesion 1 protein 1,"GO:0008278,GO:0010032,GO:0051455,GO:0051754""","cohesin complex,meiotic chromosome condensation,spindle attachment to meiosis I kinetochore,meiotic sister chromatid cohesion, centromeric",Cluster 2
3684,Xele.ptg000013l.419,NA,Q94AC1.1RecName,Rhodanese-like domain-containing protein 6,NA,NA,Cluster 8
3685,Xele.ptg000013l.421,ZIF1,NA,Protein ZINC INDUCED FACILITATOR-LIKE 1,"GO:0005886,GO:0022821,GO:0009414,GO:0009630,GO:0010540,GO:0055085,GO:0090333""","plasma membrane,solute:potassium antiporter activity,response to water deprivation,gravitropism,basipetal auxin transport,transmembrane transport,regulation of stomatal closure",Cluster 8
3686,Xele.ptg000013l.425,SIB2,NA,"Sigma factor binding protein 1, chloroplastic","GO:0009507,GO:0005515,GO:0042742,GO:0051091,GO:0071482""","chloroplast,protein binding,defense response to bacterium,positive regulation of DNA-binding transcription factor activity,cellular response to light stimulus",Cluster 2
3687,Xele.ptg000013l.426,CPK9,NA,Calcium-dependent protein kinase 2,"GO:1901002,GO:0046777,GO:0004683,GO:0005886,GO:0009931,GO:0009414,GO:0009409,GO:0005524,GO:0005516,GO:0005737,GO:0005509,GO:0010359,GO:0035556,GO:0106310,GO:0080092","positive regulation of response to salt stress,protein autophosphorylation,calmodulin-dependent protein kinase activity,plasma membrane,calcium-dependent protein serine/threonine kinase activity,response to water deprivation,response to cold,ATP binding,calmodulin binding,cytoplasm,calcium ion binding,regulation of anion channel activity,intracellular signal transduction,protein serine kinase activity,regulation of pollen tube growth",Cluster 8
3688,Xele.ptg000013l.428,CYP75B137,NA,"Flavonoid 3',5'-hydroxylase 1","GO:0005506,GO:0016717,GO:0020037,GO:0033772,GO:0009718,GO:0009733,GO:0051553","iron ion binding,oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water,heme binding,flavonoid 3',5'-hydroxylase activity,anthocyanin-containing compound biosynthetic process,response to auxin,flavone biosynthetic process",Cluster 2
3689,Xele.ptg000013l.429,SC35,NA,Splicing factor 3B subunit 6-like protein,"GO:0003723,GO:0005515,GO:0006397,GO:0008380""","RNA binding,protein binding,mRNA processing,RNA splicing",Cluster 7
3690,Xele.ptg000013l.432,NA,XP_039136542.1uncharacterized protein LOC120273869,NA,NA,NA,Cluster 8
3691,Xele.ptg000013l.434,PCMP-E14,NA,"Pentatricopeptide repeat-containing protein At1g80270, mitochondrial","GO:0003729,GO:0080156""","mRNA binding,mitochondrial mRNA modification",Cluster 10
3692,Xele.ptg000013l.438,At2g26850,Q6NLB1.1RecName,F-box protein At2g26850,NA,NA,Cluster 4
3693,Xele.ptg000013l.440,CRK8,NA,CDPK-related kinase 7,"GO:0005737,GO:0005886,GO:0004683,GO:0004713,GO:0004722,GO:0005516,GO:0005524,GO:0009931,GO:0046872,GO:0106310,GO:0009939,GO:0010150,GO:0010286,GO:0035556,GO:0046777,GO:0050832,GO:0051592,GO:0071215,GO:1900425,GO:2000032","cytoplasm,plasma membrane,calmodulin-dependent protein kinase activity,protein tyrosine kinase activity,protein serine/threonine phosphatase activity,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,metal ion binding,protein serine kinase activity,positive regulation of gibberellic acid mediated signaling pathway,leaf senescence,heat acclimation,intracellular signal transduction,protein autophosphorylation,defense response to fungus,response to calcium ion,cellular response to abscisic acid stimulus,negative regulation of defense response to bacterium,regulation of secondary shoot formation",Cluster 2
3694,Xele.ptg000013l.444,MED26A,Q9FHK9.1RecName,Probable mediator of RNA polymerase II transcription subunit 26b,NA,NA,Cluster 7
3695,Xele.ptg000013l.445,TUBB8,NA,Tubulin beta-1 chain,"GO:0005737,GO:0005874,GO:0003729,GO:0003924,GO:0005200,GO:0005515,GO:0005525,GO:0046872,GO:0000226,GO:0000278,GO:0009409","cytoplasm,microtubule,mRNA binding,GTPase activity,structural constituent of cytoskeleton,protein binding,GTP binding,metal ion binding,microtubule cytoskeleton organization,mitotic cell cycle,response to cold",Cluster 2
3696,Xele.ptg000013l.446,SCAB2,NA,Stomatal closure-related actin-binding protein 1,"GO:0005737,GO:0005856,GO:0003779,GO:0007015,GO:0007623,GO:0010119""","cytoplasm,cytoskeleton,actin binding,actin filament organization,circadian rhythm,regulation of stomatal movement",Cluster 3
3697,Xele.ptg000013l.449,CYP94C1,NA,Cytochrome P450 CYP94D108,"GO:0005789,GO:0005515,GO:0016709,GO:0018685,GO:0052694,GO:0002213,GO:0006694,GO:0008203,GO:0009611,GO:0009694,GO:0010345,GO:0010584,GO:0016135,GO:0035336,GO:0042761,GO:0048653","endoplasmic reticulum membrane,protein binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen,alkane 1-monooxygenase activity,jasmonoyl-isoleucine-12-hydroxylase activity,defense response to insect,steroid biosynthetic process,cholesterol metabolic process,response to wounding,jasmonic acid metabolic process,suberin biosynthetic process,pollen exine formation,saponin biosynthetic process,long-chain fatty-acyl-CoA metabolic process,very long-chain fatty acid biosynthetic process,anther development",Cluster 5
3698,Xele.ptg000013l.450,LOC_Os01g68660,NA,Cysteine proteinase inhibitor 12,"GO:0005576,GO:0004869,GO:0005515,GO:0006952,GO:0006972,GO:0006979,GO:0009409,GO:0009414,GO:0009611""","extracellular region,cysteine-type endopeptidase inhibitor activity,protein binding,defense response,hyperosmotic response,response to oxidative stress,response to cold,response to water deprivation,response to wounding",Cluster 1
3699,Xele.ptg000013l.451,At3g53210,NA,WAT1-related protein At5g07050,"GO:0034639,GO:0005515,GO:0098712,GO:0015186,GO:0005938,GO:0080144,GO:0048316,GO:0010315,GO:0009834,GO:0005886,GO:0032973,GO:0043090""","L-amino acid efflux transmembrane transporter activity,protein binding,L-glutamate import across plasma membrane,L-glutamine transmembrane transporter activity,cell cortex,intracellular amino acid homeostasis,seed development,auxin export across the plasma membrane,plant-type secondary cell wall biogenesis,plasma membrane,amino acid export across plasma membrane,amino acid import",Cluster 8
3700,Xele.ptg000013l.454,NA,-,NA,NA,NA,Cluster 7
3701,Xele.ptg000013l.455,ISPE,NA,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, chloroplastic/chromoplastic","GO:0009570,GO:0005524,GO:0050515,GO:0016114,GO:0016310,GO:0019288","chloroplast stroma,ATP binding,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity,terpenoid biosynthetic process,phosphorylation,isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",Cluster 8
3702,Xele.ptg000013l.457,CKX11,NA,Cytokinin dehydrogenase 9,"GO:0005615,GO:0005788,GO:0005829,GO:0008131,GO:0019139,GO:0071949,GO:0009823,GO:0010103,GO:0010229,GO:0048507","extracellular space,endoplasmic reticulum lumen,cytosol,primary amine oxidase activity,cytokinin dehydrogenase activity,FAD binding,cytokinin catabolic process,stomatal complex morphogenesis,inflorescence development,meristem development",Cluster 2
3703,Xele.ptg000013l.459,HGN1,NA,"Glucan endo-1,3-beta-glucosidase","GO:0005576,GO:0005737,GO:0043231,GO:0008810,GO:0042973,GO:0006076,GO:0009617,GO:0050832","extracellular region,cytoplasm,intracellular membrane-bounded organelle,cellulase activity,glucan endo-1,3-beta-D-glucosidase activity,(1->3)-beta-D-glucan catabolic process,response to bacterium,defense response to fungus",grey
3704,Xele.ptg000013l.461,GNS1,NA,Lichenase-2,"GO:0005576,GO:0042972,GO:0042973,GO:0006076,GO:0050832","extracellular region,licheninase activity,glucan endo-1,3-beta-D-glucosidase activity,(1->3)-beta-D-glucan catabolic process,defense response to fungus",Cluster 1
3705,Xele.ptg000013l.462,HGN1,NA,"Glucan endo-1,3-beta-glucosidase","GO:0005576,GO:0005737,GO:0043231,GO:0008810,GO:0042973,GO:0002215,GO:0006076,GO:0050832","extracellular region,cytoplasm,intracellular membrane-bounded organelle,cellulase activity,glucan endo-1,3-beta-D-glucosidase activity,defense response to nematode,(1->3)-beta-D-glucan catabolic process,defense response to fungus",Cluster 1
3706,Xele.ptg000013l.463,A4A49_22780,XP_009386262.2PREDICTED: uncharacterized acetyltransferase At3g50280-like,NA,NA,NA,Cluster 1
3707,Xele.ptg000013l.464,HGN1,NA,"Glucan endo-1,3-beta-glucosidase","GO:0005576,GO:0005737,GO:0043231,GO:0008810,GO:0042973,GO:0006076,GO:0009617,GO:0009627,GO:0050832","extracellular region,cytoplasm,intracellular membrane-bounded organelle,cellulase activity,glucan endo-1,3-beta-D-glucosidase activity,(1->3)-beta-D-glucan catabolic process,response to bacterium,systemic acquired resistance,defense response to fungus",Cluster 7
3708,Xele.ptg000013l.465,HXK1,NA,Hexokinase-3,"GO:0005741,GO:0005829,GO:0009507,GO:0009527,GO:0032991,GO:0001046,GO:0004340,GO:0005515,GO:0005524,GO:0005536,GO:0008865,GO:0006006,GO:0006096,GO:0006357,GO:0009409,GO:0009651,GO:0009747,GO:0010148,GO:0010255,GO:0012501,GO:0019320,GO:0046835,GO:0051156,GO:0080147,GO:0090332,GO:2000032","mitochondrial outer membrane,cytosol,chloroplast,plastid outer membrane,protein-containing complex,core promoter sequence-specific DNA binding,glucokinase activity,protein binding,ATP binding,glucose binding,fructokinase activity,glucose metabolic process,glycolytic process,regulation of transcription by RNA polymerase II,response to cold,response to salt stress,hexokinase-dependent signaling,transpiration,glucose mediated signaling pathway,programmed cell death,hexose catabolic process,carbohydrate phosphorylation,glucose 6-phosphate metabolic process,root hair cell development,stomatal closure,regulation of secondary shoot formation",Cluster 2
3709,Xele.ptg000013l.466,JGB,O48716.1RecName,Protein JINGUBANG,NA,NA,Cluster 2
3710,Xele.ptg000013l.467,DHFS,NA,Folylpolyglutamate synthase,"GO:0016020,GO:0000166,GO:0004326,GO:0043167,GO:0009809,GO:0010449,GO:0044281,GO:0046901,GO:0048767,GO:0090351,GO:1904961","membrane,nucleotide binding,tetrahydrofolylpolyglutamate synthase activity,ion binding,lignin biosynthetic process,root meristem growth,small molecule metabolic process,tetrahydrofolylpolyglutamate biosynthetic process,root hair elongation,seedling development,quiescent center organization",Cluster 3
